SUBSCRIPTION_NAME,SUBSCRIPTION_ID, RESOURCE_GROUP_NAME,RESOURCE_NAME,RESOURCE_TYPE,TAGS
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,cloud-shell-storage-westeurope,csb10032001a9719ac5,Microsoft.Storage/storageAccounts,ms-resource-usage=azure-cloud-shell;
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-NCUS,DefaultWorkspace-561c5e92-2242-43e2-9ba2-adf418590a19-NCUS,Microsoft.OperationalInsights/workspaces,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-NCUS,SecurityCenterFree(DefaultWorkspace-561c5e92-2242-43e2-9ba2-adf418590a19-NCUS),Microsoft.OperationsManagement/solutions,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-CIN,VSI-WVD,microsoft.insights/actiongroups,Created On=06/212021;
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-CIN,DefaultWorkspace-561c5e92-2242-43e2-9ba2-adf418590a19-CIN,Microsoft.OperationalInsights/workspaces,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-CIN,SecurityCenterFree(DefaultWorkspace-561c5e92-2242-43e2-9ba2-adf418590a19-CIN),Microsoft.OperationsManagement/solutions,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,veeam-auto-75006ffe-d5e8-4954-b269-df73e7358cc2,veeam-auto-81e6f886-4538-4e63-a482-de7cf223c5a0,Microsoft.Network/virtualNetworks,VeeamAutoResource=;VeeamAutoSubnet=veeam-auto-0a0c2b22-b923-4fad-959c-539d63d27e55;
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-EUS2,DefaultWorkspace-561c5e92-2242-43e2-9ba2-adf418590a19-EUS2,Microsoft.OperationalInsights/workspaces,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,DefaultResourceGroup-EUS2,SecurityCenterFree(DefaultWorkspace-561c5e92-2242-43e2-9ba2-adf418590a19-EUS2),Microsoft.OperationsManagement/solutions,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,PHISHROD-RG,VSI-PRD-PR01,Microsoft.Compute/virtualMachines,Server=application;
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,PHISHROD-RG,VSI-PRD-PR01/OmsAgentForLinux,Microsoft.Compute/virtualMachines/extensions,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,PHISHROD-RG,VSI-PRD-PR01/VMSnapshotLinux,Microsoft.Compute/virtualMachines/extensions,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,PHISHROD-RG,VSI-PRD-PR02,Microsoft.Compute/virtualMachines,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,PHISHROD-RG,VSI-PRD-PR02/OmsAgentForLinux,Microsoft.Compute/virtualMachines/extensions,
Pay-As-You-Go,561c5e92-2242-43e2-9ba2-adf418590a19,PHISHROD-RG,VSI-PRD-PR02/VMSnapshotLinux,Microsoft.Compute/virtualMachines/extensions,
